instagram_comments,offensive,offensiveness_levels,antisemitism,apology_for_the_dictatorship,fatphobia,homophobia,partyism,racism,religious_intolerance,sexism,xenophobia,offensive_&_non-hate_speech,non-offensive,specialist_1_hate_speech,specialist_2_hate_speech,specialist_3_hate_speech
Tadinha de você. A senhora só foi eleita por causa do bolsonaro. O país todo sabe disso,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"@joicehasselmannoficial senta lá, senta!",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Seria tão bom se esses filhos do Bolsonaro ficassem calados para sempre!!!!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tudo que a família Bolsonaro falar vira esse mimimi . O que a esquerda quer é afastar os filhos que são soldados leais do presidente . Não caiam nessa .,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Cala a boca, Magda!!!",True,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
"Esse porra defeca pela boca, só atraí mídia negativa pro pai dele...deveria ir pros EUA e ficar lá por um bom tempo.",True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Ele é loooooouco,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Vai “garrar” vergonha na cara sua aproveitadora, porque você não se indignou com a ameaça do podre de senador Humberto Costa e outros esquerdalhas nojentos quando ameaçam o Brasil? 🐍 é o que você é!!!! 🤮🤮🤮",True,2,False,False,False,False,True,False,False,False,False,False,False,False,True,False
Mudou de opinião em 6 meses. Joice é uma das figuras mais asquerosas essa política🤮,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Cala a boca. Deixa eles falarem pois eles estso pegando até palavras no ar até pensamento para ter motivo para falar e criticar. Fica quieto você não é amigo do Predidrnte você é filho pior ainda por isso a cobrança e mais dura e oportunísta. Sossega essa boca. E faz tud parte engole sapo para depois engolir eles ok,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Pq o @jairmessiasbolsonaro não fala para os seus filhos ficarem calados, eles estão acabando com o governo do presidente. Tá difícil!!!. Desse jeito com certeza os esquerdistas crescem.",True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
É um imbecil!!!! Muda o foco,True,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Não e verdade😄😄 a verdade e quê a esquerda não presta🔒🔒🔒,True,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False
"Joice , assim é a Democlasia , fala quem quer e o ele disse é o q os Brasileiros de bem querem . Todo os deputados falam e fazem merda ,",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Joice tá com dor de cutuvelo, para com essa postura lamentável Joice. Se errou em alguma segue em frente, ñ precisa virar oposição ao governo.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Parabéns Benedita...esse canalha precisa ser punido!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Só fala besteira essa Benedita não fala nada não tem um projeto um quadro de um policial matando uma pessoa isso e homenagem pelo amor de deus Benedita vai aparecer com trabalhos projetos para o bem do povo não com esse mimi q isso não cola mais não,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Que nojo desta gente que se acha acima do bem e do mal! É o tipo que se diz representante do povo! Benê você é incrível! ❤️❤️❤️❤️,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Até quando o povo brasileiro vão colocar lixos humanos pra governar,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"E uma chita ela né! Opssss, uma chata.",True,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Expussem logo esse desgraçado mandem ele logo para o inferno, um racista não merece viver entre nós",True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Essa é outra mulher lixo,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Canalhice, RACISMO NUNCA MAIS.",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
🤢🤢🤢 Vala so merda!!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Esse deputado racista é um verme, verme este que, quando amassado com os pés ele fede. Tu, deputado, é tão pequeno, que se alguém cuspir no chão perto de você é bem capaz de mata-lo afogado.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Esses fascitas passam dos limites, eles terão que ser penalizados pelos atos insanos",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"O respeito não faz parte desse partido, o PSL! Vergonha! Uma celebração terminar com desrespeito! Isso não pode! Punição presidente Rodrigo Maia!",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"A imagem usada é o que, cambada de FDP. Vocês são os verdadeiros preconceituosos... usaram um negro vestido da bandeira do Brasil baleado e caído e um policial branco com arma na mão insinuando o que??? Cafajestes!!! Pilantras!!!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse milico de merda tem.que ser preso,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mimimimimimi PT mimimimimimi PT mimimimimimi,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Vagabundo.do PSL.partido do Laranjal,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Maldito MILICO mal caráter, esse DEPUTADOS canalha não tem estrutura nem pra lixeiro da assembleia legislativa, ele deveria estar em um manicômio judiciário.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tadeu do PSL. (Partido Só de Laranjas.) Atitude repudiante. Tá louco meu!!! É hora de impor limites a esses fascistas de MERDA.🤢,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Essa Petralha devia ir pra cadeia .,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Fogo nos racistas,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esquerda parasita lixo,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Eu sou negro e só vejo racismo de sua boca podre sua Negra, agora me diga que eu sou racista.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Só mi 🇧🇷🇧🇷mim mi vão trabalhar para o povo, pra isso qe vcs foram eleitas 🇧🇷",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse miliciano precisa pagar pelo que fez.,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Ela n é uma chita? Digo, chata! Opssss....",True,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Mulher chata insuportável,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"👏👏👏chega de tanto lixo destes fascistas ,racistas de merda, traidores da Pátria , golpistas🤮🤮🤮chega...",True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
#ForaGovernoDeMilicianos,True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
#ForaFascistas,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Atitude intolerável! Cadeia para esse deputado estúpido e imbecil! #forapsllixo,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Bandido bom e bandido morto! Independente da cor! Você ainda vai ser vítima deles, aí quero ver manter a opinião. E outra, vocês são todos corruptos, logo chegará sua hora",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Cadeia nele, será que vão ter punição?",True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
É um verme racista,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ele fez certo...políciais não racistas!comunistas canalhas!,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Coronel Tadeu??? Para mim é um bosta!!!!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Racismo é crime inafiançável. Tem que tirar o mandato desse canalha.,True,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Essa é a face do brasileiro bolsonarista é racista e no gosta de dividir nada com ninguém. .onde anda a Igualdade? ??,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Ele não tem cacife para ser um representante do Povo,ele não tem capacidade intelectual de exercer cargos públicos. #ForaDeputadoTadeu",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
#forabolsonaro corrupto,True,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
O Brasil que você não é o Brasil de 1800 sua analfabeta.,True,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
PT nunca mais,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
PT quadrilha unida,True,2,False,False,False,False,True,False,False,False,False,False,False,False,True,False
Um vagabundo daquele.,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Cadeia neles,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Que mulher ridícula essa Benedita só fala bosta,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Vai trabalhar sua nojenta,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Que esse coronelzinho seja responsabilizado e devidamente penalizado. Criatura desprezível, coronel de 💩.",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Estamos com você companheira Benedita. Abaixo esse governo miliciano farcista.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Esse coronel de merda está pensando que e quem, vagabundo ordinário 💩💩💩💩",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Que cara safado fazer uma coisa dessas sendo que o povo brasileiro é mistura de todas as raças,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Mas, os mesmos, ainda votaram nesses crápulas!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tinha que quebrar o quadro era na cara de quem pintou...bando de hipócritas quando tomam um susto corre para procurar a polícia !!!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bando de vagabundo!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Covarde ... Corone FDP,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Boa noite que Os Deputados FEDERAls das Esquerdas Tomem Uma providência sobre esse descarado Deputado federal escroto racista esse laranja estragada 👺💩💩💩💩 do PsL esse já aprontou Muito sem nem Uma punição ele é Deputado federal pago p povo Brasileiro ele não está aí só Para defender os militares estão para fazer ó seu trabalho que está Fazendo porca mente Ele É louro de olhos azuis fora idiota nem que tivesse nascido na Suiça Ele não tem direito de ser Preconceituoso com Nimquém Ele já passou de todos os limites fora esse coronel Facista Chantagista é racista,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Que horror canalhas😢😢,True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Canalhas e preconceituosos,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
CANALHA ‼️👊👊👊,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Covardes.... assassinos....milicianos!!!😠😠😠😠,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"PSL , partido de bandido.",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Cadeia , racismo é crime! Facistas!",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True
"Essa atitude é vergonhosa, tem q ser punido,esse vândalo!",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bandido! Canalha e racista! Q a justiça seja feita!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Até quando vamos suportar estes INSANOS ?? MINIONS DESGRAÇADOSSSSS ! SERA QUE 33 MILHOES QUE NAO FORAM VOTAR VAO FICAR COM A BUNDA NO SOFA NOVAMENTE ?? ELES NÃO SAO MAIORIA PELO AMOR DE DEUS ! OU JUNTAMOS 47 MILHOES COM QUEM NAO VOTOU. E ENTERRAMOS ESTES MALDITOS NAD URNAS EM 2022 OU NADA SOBRARÁ!!!,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"SuA inutil , ele defende sim , o policial ,,",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Deplorável, absurdo total. Ele vai ter q ser cassado, eu tô sem direção, perdi meu norte se esse lixo continuar no parlamento 🙏",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Os velhos coroneis agonizam. O mundo, nunca e jamais te aceitará em paz, Coronelzinho de Merda, Cala-te Tadeu! Seu tipo ja era, você ja deu!...Antes de Levantar teu chicote, pense....Quebraremos seus braços babaca! Toda solidariedade à deputada!",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ptistas Lixos 💩,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Cabra bom de peia esse VOMITEI.Tapa na cara ele vai levar do povo em breve nas urnas, quem viver vera!",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Disse TUDO minha deputada federal, NÃO podemos deixar desses jagunços vencerem, independente de raça e credo todos perderemos.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Nossa solidariedade aos agredidos por esse louco descompassado. #racismoécrime,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Sujeito escroto,True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"Parabéns deputada Benedita a senhora tem toda razão, racismo é crime.Esse coronel Tadeu é um verme facista é deve ser responsabilizado pelo ato que cometeu.",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
toma fdp,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Coronéis FDP,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Nossa que emocionante 😂😂😂😂😂 ... é muita cara de pau ... 🤦🏻‍♂️,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Essa esquerda é uma PIADA!!,True,3,False,False,False,False,True,False,False,False,False,False,False,False,True,False
Jogue duro com esses racistas do inferno!💪💪,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Deputado racista verme fora lixos do psl,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Cadeia nessi mizeravel disgrasado que feis isso aí esse disgrasado estava aí si amostrando o dominador momtrando a todos nós negros incruindo eu um cara maldito esse cara estava demostrando ali naquele momento a guria dele comtra nois negros desse país,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse miZeravel e um ele estava demostrando ali naquele momento estava demostrando a sua guria comtra todos nós negros incruindo eu isso e inaceitável um disgrasado dessis aí fazendo amessas para todos nós tem que ser punido pela lei não pode aceitar jamais tudo isso que esse miZeravel feis,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pra todos nós que Samos milhões de negros nessi país incruindo eu esse miZeravel tem que ser punido pela lei isso e inaceitável🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PT não tem moral pra cobra e nem fala nada de ninguém. Corja de vagabundos,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Manda esse vagabundo de volta pra cadeia.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Toma vagabundo😂👏,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Por q sabe q vai ser mais uma condenação né infeliz????????🤮🤮🤮🤮🤮🤮🤮,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ficam perdendo tempo com essa merda,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Manda esse Lalau pra Cuba com passagem só ida..,True,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"Não é possível, que não haja, um único Ministro dígno, naquele pinico.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Prende logo,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Joice Rasselman é uma maluca,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Qual o medo de ser julgado? O bandido quer usar o STF para proteger ele mas não deu. O maduro do Brasil (Lula), tem que ser impedido, pq se voltar ao poder com dinheiro roubado, Brasil já era.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Lugar de ladrão é na cadeia Lula bandido,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Atentos e vigilantes para impedir que esta criatura parida pelo diabo tenha voz.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Obrigado excelência, muito obrigado esse safado saquiou nosso Brasil 👏👏👏👏👏👏",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tem que ir para a cadeia!!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"Parabens ministro Fschin, se o sr pudesse mandar logo esse lulopetista logo para o presidio, seria muito bom mesmo",True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Pilantra,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Olha a cara desse lula gente , acho que só pela cara de safado deveria ficar preso",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Esse ladrão tem que voltar pra onde ele nunca deveria ter saído,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Vai, toma seu verme....",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Agora: prisão até morrer!!!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Vai adiantar o que ?? Se condenado, continuará livre, pode recorrer a vida inteira 😏Esse STF é um lixo .. Uma vergonha",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Que ladrão tem que ir para cadeia,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Têm quê pegar 100 anos,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
30 anos estaria de bom tamanho para tamanho corrupto e ladrão!!! Estamos aguardando...,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"UAUUUUUUUUUUU, ENGULAM ESQUERDA",True,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False
Cadeia nesse verme,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
O STF não é inteiramente PODRE! Tiramos as maçãs podres e teremos magistrados sérios e isentos.,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Como essa gente e.destituida de qualquer mencao de razao a ignorancia e.tao .grande que e inconcebivel acreditar nesse pensamentotao mediocre e pauperrimo.de livrar se dos atos de bom vivan desse crapula e verme que gracas a tudo .esta.sendo .escurracado dos nossos locais de convivio essa pessoa escrota queva se.hanituando a nao.ser nada pois nada e nada comforme se acabou .,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"MUITO BEM FACCHIN , NAO DA MOLESA PARA ESSE LOUCO , PSICOPATA, BEBADO. CADEIA PARA ELE.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Que seja condenado,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Não vejo a hora de ver esse demônio de 9 dedos na cadeia novamente!!!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Não basta conseguir tirar o ladrão da prisão, agora querem suspensão do julgamento. São muito canalhas...",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Cadeia pro Lula já,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Não aguento mais . Pelo amor de Deus , nesse País os poros dessas pessoas que respira Lula Credo! Chou coisa ruim . Oremos para vê se pensam em coisa sadia 🙏🙏",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Hahahaha lula lixo,True,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Bora Brasil...Lula na Cadeia 👏👏👏🇧🇷,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Muito bem fácil bandido é sempre bandido E o lugar dele é na cadeia lulaladrao fora STF protetor de bandido.,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Demorou pra colocar esse ser na cadeia novamente,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
A atoa lambedora saco de miliciano....A tonta apoia os assassinos de Marielle.Deixe ser escrota mulher,True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Um bando babacas dizendo Deus no comando...Direita hipocrita e safada...,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"mas o final e com o supremo , quer dizer e essa merda livre , exercito pra cima dessa vermelhada a unica solucao",True,2,False,False,False,False,True,False,False,False,False,False,False,False,True,False
👏👏👏cadeia de novo pra esse imbecil de 9 dedos,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Luladrão teu lugar é na papuda,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Grande merda, o q adianta se depois vem um fdp e solta o Zé cana brava!!!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"👏👏👏🙏🙏 Mais uma condenação para este bêbado, corrupto, ladrão!!! E o Toffoli e sua gangue ,com cara de pau,tentando livrar a cara do imundo!!🇧🇷",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Este vaga vagabundo está se achando. Não tem que ter regalias, você é qualquer pessoa hoje,Ainda pensa que manda .",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse lularapio tem que ser julgado e condenado e voltar a prisão,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
VAI VOLTAR PRA JAULA,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Está na hora de retornar para a. cadeia,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"De volta pra casa Lula... Pra casa de jaula.. La vc estará bem protegido, ninguem te fara mal",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"E a mentira rolando,também o pai da mentira e o 😈",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
👏👏👏isso ai esse ladrão tem que volta para cadeia,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,True
"Que adianta tanta acusação se esse cara ainda tá solto, nem tornozeleira esse cara usa! Tá mais livre que eu, pq ele tem grana pra ficar batendo perna dia todo, com o dinheiro dos outros! Como não sou ladra nem vagabunda, fico dentro de casa!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Cadeia nesse vagabundo verme incitando violência cadê a lei de segurança nacional não funciona???,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Que corrupto chato,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Era só o que faltava! Fachin mandar suspender o julgamento desse inútil! Esse criminoso se acha mesmo dono de todo STF,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Porque o resto do STF, vão morre pela própria mão do povo que não aguenta mais tanta corrupção 😤",True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"Se lascou doidin , vai voltar pra jaula, foi fala que faltava canalhice no governo kkkkkkkkkkk",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Cana nesse pinguço ladrão!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"Ja está manipulando ,vcs sao egoísta",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Lula na cadeia já !!!,True,2,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Os caras que defendem o Ladrao sem vergonha estão achando que podem cagar em todos .,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Toma!!! Seu fim chegou!!!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Prende logo essa carniça de urubú,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Ele vai voltar pro xilindró!!! Kkkkk Wuero ver o “belzebu” mandar os otarios partirem pra vandalização do Brasil, como está acontecendo no Chile, estando trancafiado!!!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Toma lhe cadeia seu velhaco,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Lulaladrao. Teu lugar é na cadeia ...,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Lulla é um fóssil político!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Nem eles (STF) conseguem mais ser complacentes a tanta falta de vergonha na cara! LULA É PESO MORTO! JÁ ERA! É O PRÓXIMO PC FARIAS! O cara é uma arquivo ambulante! Se abrir a boca, metade da classe política vai pra cadeia... Se não for bEEEEm mais!",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True
👏👏👏🇧🇷🇧🇷🇧🇷Esse verme tem que voltar pra cadeia !,True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Pelo menos esse cafajestes será julgado e condenado,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"STF não tem outros processos só atende os processos do patrão deles LULA. STF cria vergonha na cara, tem cara? 😁 Bem se vê não tem cara tem desrespeito com o povo.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"O satanás encarnado quer ficar livre da condenação p sitio de Atibaia, para continuar infernizando a vida dos brasileiros de bem .",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Vai voltar pra onde não devia ter saído!!!!!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Luladrão tem que voltar para Prisão em cela.comum NÃO sou obrigada pagar o Lixo desse MARGINAL VAGABUNDO VELHO BODE 🐐... Em cela com privilégios ahhh Não mesmo...,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Vai trabalhar vagabundo ladrão,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Volta lula, volta lula p a cadeia!..👏👏👏",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Canalha!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"👏👏🏼🙌🙌vai ser condenado agora a pena maior e deverá ser preso em sela comum, nada de privilégios...bandido comum e sem D, tanto dinheiro e num comprou um Diploma oh kkk la na ufpa é fácil e baratinho oh...😂😂😂",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bem feito seu rato,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"Fachin Tmj, coloca este bandido na cadeia",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Ate quando SENHOR vamos ter que Suportar noticias sobre (recursos) e mais (recursos) deste Criminoso IMORAL e COVARDE? NÃO SUPORTO MAIS VER OU OUVIR QUALQUER TIPO DE ASSUNTO AS OBRE,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Condenação para esse pilantra,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"SOBRE ESTA PRAGA . FICO TÃO DESGASTADA COM MANCHETES SOBRE ESTE TIPO VIL, REPUGNANTE QUE ATÉ TECLO ANTES DE CONCLUIR MEU RACIOCÍNIO. AFFFFFFF",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Vão amargar todos ,pois, Deus é justo. 🙌🙌🙌",True,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Verdade preso político.Armacao do Moro eda quadrilha dele,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Não existem mais homens como antigamente,esses a arquiteram a prisão de Lula,não passam de uns frouxos!",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Lula Livre Lula inocente moro chefe de quadrilha moro o povo que saber do Queiróz da Mariele,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"Sua hipocrisia, te cega cada vez mais. MALUCA!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Quem tiver duvida de que lula é um preso político é uma pessoa alienada, assim como quem considera Lula heroi. Nem uma coisa nem outra. Foi um presidente que criou alguns programas sociais, mas que ajudou muito mais os banqueiros, e Odebrecht, etc. Não sou tapada a ponto de achar lula um bandido nem de torna-lo um heroi.",True,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Vcs sao doentes!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
até cego ja viu que vocês não prestam 😡😡,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True
"PT lixo klkklk,,,,,acha que vai reinar de novo no Brasil,,,,veremos Kkk Kkk",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True
"Só quero ver a cara de vocês, quando sairem dessa bolha. Hipócritas.",True,3,False,False,False,False,False,False,False,False,False,True,False,True,False,False
